clusterName,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
CD4 T cells,0.7155651083646786,0.7672855313700384,70091,727,1856,2397,2,"['LTB', 'CD3D']","['LTB', 'CD2', 'CD3E', 'CD3D', 'IL7R', 'IL32', 'CD52', 'RPS29']"
CD8 T cells,0.7226337448559671,0.8553336580613736,70836,297,2182,1756,2,"['CD8B', 'NKG7']","['CD8A', 'CD8B', 'KLRG1', 'CD3G', 'GZMH', 'NKG7', 'CTSW', 'CCL5', 'CD3D', 'CD3E']"
Classical monocytes,0.8951919021509912,0.9664200341491178,72556,59,758,1698,2,"['S100A12', 'FCN1']","['S100A12', 'VCAN', 'CD300E', 'FCN1', 'CFP', 'MPEG1', 'S100A8', 'S100A9', 'CSTA', 'MNDA']"
Club (non-nasal),0.8456486042692939,0.9471264367816092,74352,23,284,412,2,"['SAA1', 'SLC5A5']","['MUC5B', 'SAA1', 'CRISP3', 'LTF', 'SAA2', 'SLC5A5', 'TMEM45A', 'HSD17B2', 'SERPINA3', 'PI3']"
DC1,0.5763239875389408,0.7872340425531915,74928,10,96,37,2,"['C1orf54', 'NAPSB']","['WFDC21P', 'LGALS2', 'C1orf54', 'CSF2RA', 'NAPSB', 'CPVL', 'HLA-DPB1', 'HLA-DPA1', 'CST3', 'CD74']"
DC2,0.7445077298616762,0.8356164383561644,74682,36,170,183,2,"['CD1C', 'CLEC10A']","['CD1C', 'CD1E', 'CLEC10A', 'FCER1A', 'FCGR2B', 'PKIB', 'PLD4', 'CSF2RA', 'GPR183', 'HLA-DQB2']"
EC aerocyte capillary,0.8898698884758365,0.9632796780684104,69309,146,1786,3830,2,"['SOSTDC1', 'EDNRB']","['SOSTDC1', 'S100A3', 'FRY', 'CYP3A5', 'ACE', 'EDNRB', 'IL1RL1', 'CA4', 'EMCN', 'HPGD']"
EC arterial,0.7954168050481568,0.8709090909090909,73307,142,664,958,1,['DKK2'],"['DKK2', 'GJA5', 'ENPP2', 'HEY1', 'CXCL12', 'SOX17', 'CTNNAL1', 'IGFBP3', 'LTBP4', 'MGP']"
EC general capillary,0.7985395295695586,0.8194214349432904,64781,1417,2443,6430,2,"['CA4', 'FCN3']","['SLC6A4', 'BTNL9', 'GPIHBP1', 'CA4', 'FCN3', 'EDN1', 'NOSTRIN', 'CD36', 'TMEM100', 'IL7R']"
EC venous pulmonary,0.8007594371230735,0.920410783055199,73648,62,644,717,2,"['ACKR1', 'PTGDS']","['PLA1A', 'SELP', 'ACKR1', 'VCAM1', 'IL1R1', 'PTGDS', 'VWF', 'C7', 'PRSS23', 'CPE']"
EC venous systemic,0.709583028529627,0.8899082568807339,74552,24,301,194,2,"['ADGRL4', 'SPRY1']","['PLVAP', 'ADGRL4', 'SPRY1', 'APOLD1', 'TM4SF18', 'ACKR1', 'SPARCL1', 'RPS18', 'RPL26', 'RPS6']"
Interstitial Mφ perivascular,0.8497011101622545,0.9045454545454545,74759,21,92,199,1,['FOLR2'],"['FOLR2', 'F13A1', 'CCL13', 'STAB1', 'GPR34', 'SLC40A1', 'SLCO2B1', 'GGTA1P', 'DAB2', 'MS4A4A']"
Ionocyte,0.8661417322834646,0.88,75041,3,5,22,1,['ASCL3'],"['ASCL3', 'CLDN25', 'TMEM61', 'CLCNKB', 'FOXI1', 'BSND', 'HEPACAM2', 'ATP6V1G3', 'CEL', 'TMPRSS11E']"
Lymphatic EC mature,0.9740259740259741,0.9744094488188977,74549,13,14,495,1,['CCL21'],"['CCL21', 'MMRN1', 'SNCG', 'IGF1', 'PDPN', 'PROX1', 'TFF3', 'IGFBP7']"
Mast cells,0.9918242207460399,0.9923312883435583,73095,15,20,1941,2,"['TPSAB1', 'TPSB2']","['TPSAB1', 'CPA3', 'MS4A2', 'TPSB2', 'RGS13', 'SLC18A2', 'VWA5A', 'HDC', 'MAOB', 'HPGDS']"
Mesothelium,0.7751937984496123,0.9523809523809523,75025,1,25,20,2,"['CPA4', 'PRG4']","['CPA4', 'ITLN1', 'PLA2G2A', 'RGS4', 'WT1', 'PRG4', 'HAS1', 'CFB', 'CALB2', 'HP']"
Monocyte-derived Mφ,0.4935622317596567,0.7666666666666667,74831,14,180,46,2,"['LIPA', 'APOE']","['LILRB4', 'TREM2', 'CCL18', 'LIPA', 'APOE', 'GPNMB', 'TMEM176A', 'LGMN', 'TMEM176B', 'HLA-DMB']"
Multiciliated (non-nasal),0.9821913345640134,1.0,73098,0,164,1809,2,"['FAM183A', 'SNTN']","['TEKT1', 'ZMYND10', 'EFCAB1', 'FAM183A', 'C1orf194', 'SNTN', 'RSPH1', 'C9orf116', 'LRRC46', 'DRC1']"
Myofibroblasts,0.7534883720930233,0.9878048780487805,74650,2,257,162,2,"['ASPN', 'SCARA3']","['ASPN', 'SCARA3', 'FGF18', 'PAMR1', 'TNC', 'LTBP1', 'BCHE', 'WIF1', 'CFH', 'CLU']"
NK cells,0.8538659209432394,0.8895669291338583,68368,561,1623,4519,2,"['FGFBP2', 'KLRB1']","['KLRF1', 'FGFBP2', 'KLRB1', 'SPON2', 'KLRD1', 'GNLY', 'CD247', 'PRF1', 'CD7', 'NKG7']"
Neuroendocrine,0.9846153846153846,1.0,75002,0,5,64,1,['GRP'],"['GRP', 'SCGN', 'INA', 'SLC35D3', 'CPLX2', 'CALCA', 'DIO2', 'SCG5', 'KIF1A', 'GP2']"
Non-classical monocytes,0.6262176454216531,0.7328990228013029,73770,164,687,450,2,"['LRRC25', 'LILRB2']","['LRRC25', 'APOBEC3A', 'LILRA1', 'LILRA5', 'LILRB2', 'FCN1', 'CFP', 'FCGR3A', 'LST1', 'AIF1']"
Pericytes,0.9198003714020427,0.9765865680837954,72909,38,539,1585,2,"['PTN', 'HIGD1B']","['PTN', 'HIGD1B', 'FAM162B', 'LAMC3', 'NDUFA4L2', 'KCNK17', 'AGTR1', 'KCNK3', 'MEST', 'PDGFRB']"
Plasma cells,0.8493353028064992,0.9663865546218487,74866,4,86,115,2,"['TNFRSF17', 'ANKRD36BP2']","['TNFRSF17', 'IGLL5', 'ANKRD36BP2', 'POU2AF1', 'JSRP1', 'CD27', 'TNFRSF13B', 'FKBP11', 'JCHAIN', 'MZB1']"
Plasmacytoid DCs,0.8226691042047533,0.989010989010989,74887,1,93,90,2,"['SCT', 'SPIB']","['CLEC4C', 'SCT', 'PTCRA', 'SPIB', 'LRRC26', 'LILRA4', 'IRF7', 'PLD4', 'JCHAIN', 'PPP1R14B']"
Smooth muscle,0.8908787372894218,0.9591503267973857,73328,50,519,1174,2,"['C2orf40', 'ACTA2']","['ACTG2', 'PLN', 'CNN1', 'LMOD1', 'C2orf40', 'ACTA2', 'TAGLN', 'TPM2', 'MFAP4', 'SOD3']"
Suprabasal,0.7769691780821919,0.983739837398374,74205,6,497,363,2,"['SERPINB3', 'AQP5']","['SERPINB3', 'CLCA2', 'AQP5', 'S100A2', 'KRT17', 'KRT5', 'MIR205HG', 'KRT19', 'PERP']"
T cells proliferating,0.19900497512437812,0.18604651162790697,75007,35,21,8,3,"['CEP55', 'ASPM', 'SPC25']","['CDCA5', 'HJURP', 'CEP55', 'ASPM', 'MKI67', 'SPC25', 'NUSAP1', 'CDK1', 'HMGB2', 'COTL1']"
Transitional Club-AT2,0.7863501483679525,0.8641304347826086,72971,175,812,1113,2,"['SCGB3A2', 'CYP2B7P']","['CTSE', 'GDF15', 'SCGB3A2', 'MET', 'CYP2B7P', 'SFTA1P', 'CEACAM6', 'C16orf89', 'KIAA1324', 'PIGR']"
