clusterName,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
mature NK T cell,0.058957215,0.048096731,6014,63768,2067,3222,1,['RPLP2'],"['RPS25', 'FTH1', 'RPS23', 'RPS29', 'RPL34', 'RPLP2', 'RPL37', 'RPL36', 'RPL37A', 'RPL41']"
mesothelial cell,0.008476971,0.006810443,73291,1750,18,12,2,"['LILRA4', 'ALOX5AP']","['LILRA4', 'ALOX5AP']"
neutrophil,0.275229358,0.444444444,74946,15,98,12,4,"['RGS2', 'AREG', 'S100A9', 'RPS26']","['RGS2', 'AREG', 'NAMPT', 'S100A9', 'RPS26']"
non-classical monocyte,0.182017544,0.256965944,73843,240,905,83,3,"['CRIP2', 'TIMP3', 'YWHAB']","['TACC1', 'CRIP2', 'TIMP3', 'YWHAB']"
pericyte,0.167195965,0.22180917,72318,628,1946,179,1,['EPAS1'],"['EPAS1', 'FTL', 'FTH1', 'RPL41', 'HLA-A']"
plasma cell,0.072738773,0.060792952,73802,1066,134,69,4,"['LILRA4', 'AKR1C3', 'BCL2A1', 'CES1']","['LILRA4', 'TNIP3', 'CCL20', 'AKR1C3', 'BCL2A1', 'CES1', 'SNX10', 'HLA-DQA2', 'FBP1', 'PLIN2']"
plasmacytoid dendritic cell,0.077419355,0.075471698,74785,147,127,12,4,"['PLP2', 'CD52', 'S100A4', 'PFN1']","['PLP2', 'IL32', 'CD52', 'S100A4', 'PFN1', 'S100A11', 'CFL1']"
pulmonary ionocyte,0.053763441,0.333333333,74988,2,80,1,3,"['DDIT4', 'FCGR3A', 'YBX1']","['DDIT4', 'AREG', 'FCGR3A', 'SRGN', 'YBX1', 'FTH1']"
respiratory goblet cell,0.293630121,0.305795314,73529,563,731,248,3,"['SFTPB', 'CYP2B7P', 'SCGB3A2']","['SFTPB', 'CYP2B7P', 'GPRC5A', 'SFTPA2', 'C16orf89', 'SCGB3A2', 'SLPI', 'SFTPC', 'NCL', 'RPS4Y1']"
serous cell of epithelium of bronchus,0.217391304,1,75052,0,18,1,1,['EIF5A'],"['NMB', 'GCHFR', 'MSR1', 'FN1', 'EIF5A', 'CTSD', 'GPX4', 'FTL', 'YBX1', 'FTH1']"
smooth muscle cell,0.153846154,0.133333333,75053,13,3,2,1,['DCAKD'],['DCAKD']
type I pneumocyte,0.227653966,0.286576169,73077,473,1331,190,3,"['GCHFR', 'FCGR3A', 'CRIP1']","['GCHFR', 'FCGR3A', 'SFTPC', 'TYROBP', 'GLUL', 'CRIP1', 'POLR2L', 'RPL39', 'PFN1', 'FTH1']"
type II pneumocyte,0.190198249,0.314214464,69121,825,4747,378,3,"['RPS4Y1', 'RPL17', 'TMSB10']","['RPS4Y1', 'RPL17', 'MT2A', 'TMSB10']"
vascular associated smooth muscle cell,0.127226463,0.197368421,74378,122,541,30,2,"['IFITM3', 'RPS19']","['IFITM3', 'RPS19']"
vein endothelial cell,0.253348864,0.247334755,72772,1059,892,348,3,"['XIST', 'SFTPC', 'HLA-DPB1']","['XIST', 'CCL18', 'SFTPC', 'SCGB1A1', 'SCGB3A1', 'HLA-DPB1', 'CST3', 'MT2A']"
intermediate monocyte,0.008078,0.006667,74903,149,18,1,1,"['C6orf48']","['C6orf48']"
